Characteristic;"Normal glucose metabolism
N = 2,389";"Prediabetes  
N = 538";"Type 2 Diabetes  
N = 746"
Women;1,361 (57%);258 (48%);265 (36%)
Age (years);58 (51, 64);62 (57, 68);63 (57, 68)
Moderate to vigorous physical activity (hours/week);5.3 (3.0, 8.3);4.5 (2.3, 7.5);3.8 (1.5, 6.8)
BMI (kg/m²);25.0 (22.9, 27.4);27.2 (24.9, 30.1);28.8 (26.0, 31.7)
HbA1c (%);5.35 (5.17, 5.63);5.63 (5.35, 5.90);6.54 (6.08, 7.09)
HDL (mmol/L);1.60 (1.30, 2.00);1.40 (1.20, 1.80);1.30 (1.00, 1.50)
Total cholesterol (mmol/L);5.50 (4.80, 6.20);5.50 (4.80, 6.30);4.50 (3.90, 5.20)
Triglycerides (mmol/L);1.05 (0.80, 1.45);1.39 (1.03, 1.90);1.51 (1.08, 2.14)
Duration of type-2 diabetes (only for diagnosed participants);;;3 (0, 9)
Mean IBI (ms);838 (775, 907);815 (760, 897);806 (744, 889)
SDNN (ms);138 (117, 164);127 (106, 152);116 (96, 139)
RMSSD (ms);26 (21, 34);24 (19, 33);22 (17, 31)
TP (ms²);12,596 (8,880, 17,498);10,615 (7,134, 15,374);8,880 (6,064, 12,722)
ULF (ms²);10,771 (7,392, 15,142);8,948 (5,852, 13,374);7,524 (5,036, 11,001)
VLF (ms²);1,198 (833, 1,692);1,015 (685, 1,478);816 (541, 1,267)
HF (ms²);94 (57, 158);78 (47, 138);63 (36, 117)
Systolic blood pressure (mmHg);123 (114, 133);129 (122, 140);130 (122, 139)
Diastolic blood pressure (mmHg);75 (71, 80);78 (73, 83);76 (72, 81)
Mean arterial pressure (mmHg);95 (88, 102);99 (93, 107);98 (92, 105)
Carotid artery distensibility (10-3/kPa);15.0 (11.8, 18.8);13.5 (10.4, 16.9);12.5 (9.9, 16.0)
Carotid-femoral pulse wave velocity (m/s);8.08 (7.28, 9.16);8.96 (7.84, 10.32);9.36 (8.16, 10.80)
Glucose-lowering medication;0 (0%);0 (0%);519 (70%)
Antihypertensive medication;431 (18%);199 (37%);478 (64%)
Beta blockers;149 (6.2%);77 (14%);195 (26%)
Lipid-lowering medication;280 (12%);141 (26%);484 (65%)
